Paper No.,PCE max (%),VOC (V),JSC (mA/cm2),FF (%),"For VOC, JSC and FF, when only average values were available instead of actual values of the best devices, the average values were listed. These data were mainly obtained from tables and the main text of articles. Some data were from the supplymentary materials."
136,5.5,1.34,9.23,44.2,
137,4.4,0.94,8.35,56,
137,3.49,0.96,6.99,52,
137,3.35,1.13,6.32,47,
137,2.71,1.15,5.03,47,
138,13.1,0.82,22,72.7,
138,11.4,0.83,19.1,72.2,
138,8.1,0.84,14.6,66.5,
139,11.62,0.82,19.38,73.12,
139,11.26,0.82,21.85,62.88,
139,13.16,0.82,22.65,70.82,
139,12.12,0.82,22.27,66.35,
139,12.89,0.82,22.52,69.79,
139,13.16,0.82,22.65,70.82,
139,12.82,0.82,21.73,71.91,
139,12.23,0.82,20.53,72.64,
140,10.03,0.66,23.56,65,
142,1.23,0.924,4.1,32,
142,4.99,0.96,11.32,46,
143,12.32,0.935,18.05,73,
143,8.74,0.943,16.64,55.7,
143,10.16,0.944,15.74,68.4,
143,8.31,0.955,15.56,55.9,
144,9.55,0.645,23.3,63.4,
144,8.45,0.755,15.3,73.1,
144,13,0.694,26.3,71,
146,13.16,0.95,18.76,73.85,
146,10.86,0.89,18.12,67.37,
148,16.11,0.83,27.07,71.7,
148,15.63,0.84,26.31,70.87,
150,4.44,0.97,10.47,43.7,
150,3.24,0.98,8.77,37.7,
150,2.98,0.98,6.99,43.5,
150,1.3,1,4.19,31,
152,13.31,0.893,22.18,67.14,
152,12.21,0.899,22.1,61.42,
152,12.48,0.906,20.97,65.65,
152,10.99,0.922,20.06,59.34,
153,12.49,0.94,18.46,72,
153,7.39,0.77,14.54,66,
154,8.4,0.82,16.2,63,
154,8,0.82,15.64,62,
154,6.6,0.8,14.91,55,
154,6.9,0.84,14.75,56,
154,6.4,0.8,14.61,55,
154,6.5,0.83,14.25,55,
154,5.9,0.8,14.12,52,
154,5.6,0.83,12.11,56,
154,4.2,0.78,12.03,45,
154,5,0.83,11.2,54,
154,5,0.84,10.92,55,
154,3,0.8,8.23,46,
155,5.16,0.92,10.56,56,
155,10.9,0.94,16.18,71,
155,3.75,0.94,8.23,48,
155,12.14,0.94,17.95,72,
155,11.04,0.95,15.86,73,
155,8.16,0.94,13.08,66,
159,13.4,0.813,22.2,74,
159,11.1,0.835,19.8,67.1,
159,3.98,0.95,7.16,58.6,
160,7.3,0.57,20.7,61,
160,10.2,0.64,24.8,64,
160,10.5,0.7,23.4,64,
161,10.1,0.86,18.55,64,
161,9.69,0.86,17.5,65,
161,9.58,0.86,17.07,65,
161,7.38,0.82,15.74,57,
163,11.79,0.74,23.77,66.6,
164,14.13,0.867,23.79,68.49,
164,11.54,0.884,21.88,59.62,
166,14.34,0.861,24.34,68.44,
166,9.64,0.776,18.27,67.96,
168,10.09,0.925,16.96,64,
168,1.32,0.92,2.56,56,
168,11.18,0.942,17.58,68,
168,10.31,0.932,17.33,64,
168,9.11,0.928,16.19,61,
168,6.56,0.927,12.93,55,
168,3.06,0.925,7.32,45,
170,13.03,0.93,18.94,74.07,
